通知人,标题,日期,链接
教学通知,关于做好2025年9月退役复学学生转专业的通知,"
2025-09-10
         ",info/1012/14194.htm
质量办,关于举办福州大学第七十四场“教学有道”研讨活动暨2025年教师教学创新大赛培训会的通知,2025-10-13,info/1040/14251.htm
教学运行,关于组织2025级新生开展学籍信息自查工作的通知,"
2025-10-11
         ",info/1036/14245.htm
质量办,关于举办福州大学第七十三场“教学有道”研讨活动的通知,"
2025-09-28
         ",info/1040/14235.htm
教学运行,关于2025-2026-01学期体育理论教室安排（2025级）的通知,"
2025-09-26
         ",info/1036/14232.htm
教学运行,关于2025年国庆节、中秋节放假课程调整的通知,"
2025-09-24
         ",info/1036/14229.htm
综合科,关于召开2025-2026学年秋季学期期初本科教育教学工作会议的通知,"
2025-09-23
         ",info/1035/14228.htm
实践科,关于举办2025年福州大学大学生工程实践与创新能力大赛的通知,"
2025-09-23
         ",content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14227
教学运行,关于做好2025-2026学年第二学期排课准备工作的通知,"
2025-09-22
         ",info/1036/14225.htm
教学运行,关于2025-2026学年第一学期重新学习选课、缴费的通知,"
2025-09-22
         ",info/1036/14224.htm
计划科,关于2025-2026学年第一学期参加《大学生国家安全教育》课程学习的通知,"
2025-09-22
         ",info/1038/14223.htm
计划科,关于通识教育选修课《国际化拔尖创新人才科研训练2025秋》宣讲会及选课的通知,"
2025-09-19
         ",info/1038/14220.htm
计划科,关于2025-2026学年第一学期爱课程平台参加通识教育选修课学习的重要提示,"
2025-09-18
         ",info/1038/14219.htm
实践科,关于开展大学生劳动教育优秀案例征集活动的通知,"
2025-09-16
         ",content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14216
计划科,关于公布2025-2026学年第一学期通选课取消开课名单的通知,"
2025-09-15
         ",info/1038/14213.htm
教研教改,关于2025级“数智实验班”入选学生名单的公示,"
2025-09-12
         ",info/1037/14206.htm
教研教改,关于2025级“数理综合班”入选学生名单的公示,"
2025-09-12
         ",info/1037/14205.htm
教研教改,关于2025级“嘉锡化学拔尖班”入选学生名单的公示,"
2025-09-12
         ",info/1037/14204.htm
教研教改,关于2025级“数理金融实验班”入选学生名单的公示,"
2025-09-12
         ",info/1037/14203.htm
质量办,关于开展福州大学2025年教师教学创新大赛的通知,"
2025-09-12
         ",info/1040/14202.htm
教研教改,关于公布参加2025级“数智实验班”选拔面试学生名单的通知,"
2025-09-10
         ",../info/1037/14201.htm
教研教改,关于公布参加2025级“数理综合班”选拔面试学生名单的通知,"
2025-09-10
         ",../info/1037/14198.htm
教研教改,关于公布参加2025级“数理金融实验班”选拔面试学生名单的通知,"
2025-09-10
         ",../info/1037/14197.htm
教研教改,关于公布参加2025级“嘉锡化学拔尖班”选拔面试学生名单的通知,"
2025-09-10
         ",../info/1037/14196.htm
教学运行,关于做好2025年9月退役复学学生转专业的通知,"
2025-09-10
         ",../info/1036/14199.htm
教学运行,关于2025-2026第一学期学期选课、辅修选课补退选和缴费的通知,"
2025-09-07
         ",../info/1036/14191.htm
综合科,关于2025-2026学年第一学期本科生学生证补办和火车票优惠区间更改的通知,"
2025-09-07
         ",../info/1035/14190.htm
综合科,关于2025级本科生（含访学学生）学生证信息采集的通知,"
2025-09-07
         ",../info/1035/14186.htm
质量办,关于开展2025年秋季学期申请类督导听课工作的通知,"
2025-09-06
         ",../info/1040/14187.htm
质量办,关于开展2025年工程教育专业认证申请工作的通知,"
2025-09-06
         ",../info/1040/14188.htm
质量办,关于开学第一周集中听课的通知,"
2025-09-06
         ",../info/1040/14189.htm
计划科,关于2025-2026学年第一学期港澳台侨学生思政课和军事课程退选替代的通知,"
2025-09-06
         ",../info/1038/14185.htm
计划科,关于2025-2026学年第一学期通识教育选修课选课的通知,"
2025-09-06
         ",../info/1038/14184.htm
教材中心,关于2025-2026学年第一学期教材发放的通知,"
2025-09-05
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1042&wbnewsid=14182
教研教改,福州大学关于开展2025级“数理综合班”招生工作的通知,"
2025-09-05
         ",../info/1037/14181.htm
教研教改,福州大学关于开展2025级“数智实验班” 招生工作的通知,"
2025-09-05
         ",../info/1037/14179.htm
教研教改,福州大学关于开展2025级“嘉锡化学拔尖班”招生工作的通知,"
2025-09-04
         ",../info/1037/14177.htm
教研教改,福州大学关于开展2025级“数理金融实验班”招生工作的通知,"
2025-09-02
         ",../info/1037/14176.htm
电教中心,关于开展二期智慧教室、智慧实验室使用培训工作的通知,"
2025-08-29
         ",../info/1041/14172.htm
综合科,关于填报2024年度非学历教育发展数据的通知,"
2025-08-20
         ",../info/1035/14171.htm
实践科,福州大学关于公布本科生开放探索性实验项目（课程）立项名单的通知,"
2025-07-08
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14152
综合科,教务处关于2025年暑假工作安排的通知,"
2025-07-05
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1035&wbnewsid=14151
实践科,关于公布2023年、2024年本科生科研训练计划项目结题成绩的通知,"
2025-07-04
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14149
实践科,关于公布2025年第二十五届数学竞赛获奖名单的通知,"
2025-07-02
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14147
实践科,关于公布第十六届企业经营模拟沙盘对抗赛获奖名单的通知,"
2025-06-30
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14143
实践科,关于公布2025年大学生电子设计竞赛暨全国大学生电子设计竞赛选拔赛获奖名单的通知,"
2025-06-30
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14142
教学运行,关于2025-2026学年第一学期辅修专业选课的通知,"
2025-06-30
         ",../info/1036/14141.htm
实践科,关于公布第十四届大学生软件设计与服务外包创新创业竞赛获奖名单的通知,"
2025-06-27
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14139
实践科,福州大学关于公布2025届本科生优秀毕业设计（论文）名单的通知,"
2025-06-24
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14134
实践科,福州大学关于公布大学生劳动教育实践基地立项名单的通知,"
2025-06-24
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14135
实践科,福州大学关于公布示范性校外实践教学基地立项名单的通知,"
2025-06-24
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14133
质量办,关于举办福州大学第七十二场“教学有道”暨数智课程建设与应用实操工作坊的通知,"
2025-06-24
         ",../info/1040/14131.htm
实践科,关于2025高教社杯全国大学生数学建模竞赛报名的通知,"
2025-06-23
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14128
综合科,关于更改2024-2025学年春季学期期末本科教育教学工作会议地点的通知,"
2025-06-23
         ",../info/1035/14127.htm
教学运行,关于做好期末复习考试及下学期开学等工作的通知,"
2025-06-21
         ",../info/1036/14126.htm
教学运行,福州大学关于印发2025—2026学年校历的通知,"
2025-06-20
         ",../info/1036/14125.htm
综合科,关于转发教育部高等教育司关于开展人工智能综合能力提升培训工作的通知,"
2025-06-19
         ",../info/1035/14124.htm
计划科,关于核对2025-2026学年第一学期通识教育选修课开课信息的有关通知,"
2025-06-19
         ",../info/1038/14123.htm
教学运行,关于2024-2025学年第二学期《高等数学A（中）》、《高等数学B（下）》和《高等数学C（下）》课程期末考试安排的通知,"
2025-06-18
         ",../info/1036/14121.htm
综合科,关于召开2024-2025学年春季学期期末本科教育教学工作会议的通知,"
2025-06-18
         ",../info/1035/14120.htm
教学运行,关于2024-2025学年第二学期《大学物理A（上）》、《大学物理B（上）》、《大学物理C》课程期末考试安排的通知,"
2025-06-17
         ",../info/1036/14117.htm
教学运行,关于2024-2025学年第二学期《大学英语（三）》课程期末考试安排的通知,"
2025-06-17
         ",../info/1036/14116.htm
教学运行,关于2024-2025学年第二学期《英语专题》课程期末考试安排的通知,"
2025-06-17
         ",../info/1036/14115.htm
教学运行,关于2025-2026学年第一学期本科生学期选课的通知,"
2025-06-16
         ",../info/1036/14114.htm
教学运行,关于2024-2025学年第二学期《大学英语（二）》、《大学英语（四）》课程期末考试安排的通知,"
2025-06-10
         ",../info/1036/14107.htm
教材中心,关于组织申报2025年度教育部大中小课程教材研究项目的通知,"
2025-06-06
         ",../info/1042/14105.htm
质量办,关于上报学院院级本科教育教学相关规章制度的通知,"
2025-06-03
         ",../info/1040/14098.htm
教学通知,关于上报学院院级本科教育教学相关规章制度的通知,"
2025-06-03
         ",../info/1012/14097.htm
教学运行,关于2024-2025学年第二学期《马克思主义基本原理》、《毛泽东思想和中国特色社会主义理论体系概论》和《思想道德与法治》课程期末考试安排的通知,"
2025-06-03
         ",../info/1036/14095.htm
实践科,关于公布第十一届桥梁设计大赛获奖名单的通知,"
2025-05-30
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14092
实践科,关于公布第九届网络信息安全竞赛获奖名单的通知,"
2025-05-30
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14091
质量办,关于举办福州大学第七十一场“教学有道”研讨活动的通知,"
2025-05-29
         ",../info/1040/14090.htm
教学运行,福州大学关于印发本科生转专业管理实施办法的通知,"
2025-05-28
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1036&wbnewsid=14089
实践科,关于开展大学生校外实践教学基地抽检工作的通知,"
2025-05-28
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14086
教学运行,关于2025年端午节放假课程调整的通知,"
2025-05-27
         ",../info/1036/14084.htm
教学运行,关于2024-2025学年第二学期《概率论与数理统计》课程期末考试安排的通知,"
2025-05-27
         ",../info/1036/14081.htm
质量办,关于举办福州大学第七十场“教学有道”暨第三期智慧教学课程平台与AI智慧教学工具培训的通知,"
2025-05-26
         ",../info/1040/14076.htm
实践科,福州大学关于修订印发《本科生毕业设计（论文）规范使用AI工具的规定》的通知,"
2025-05-22
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14075
教学运行,关于2024-2025学年第二学期《工程制图C（下）》、《工程制图D》、《工程制图F》课程期末考试安排的通知,"
2025-05-22
         ",../info/1036/14072.htm
实践科,关于评选福州大学2025届本科生优秀毕业设计（论文）的通知,"
2025-05-21
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14070
综合科,关于2024-2025学年第二学期再次开放本科生学生证补办和火车票优惠区间更改的通知,"
2025-05-20
         ",../info/1035/14068.htm
教材中心,关于做好2025-2026学年第一学期教材选用与征订工作的通知,"
2025-05-16
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1042&wbnewsid=14061
教学运行,关于2024-2025学年第二学期《中国近现代史纲要》课程期末考试安排的通知,"
2025-05-15
         ",../info/1036/14060.htm
实践科,关于组织申报2025年本科生开放探索性实验项目（课程）的通知,"
2025-05-15
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14059
实践科,关于开展2023年本科生开放探索性实验项目（课程）结题验收工作的通知,"
2025-05-15
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14058
教学运行,关于2024-2025学年第二学期2023级、2024级体育理论教室安排的通知,"
2025-05-14
         ",../info/1036/14055.htm
质量办,关于举办福州大学第六十九期“教学有道”研讨活动的通知,"
2025-05-14
         ",../info/1040/14054.htm
教学运行,关于2024-2025学年第二学期《习近平新时代中国特色社会主义思想概论》课程期末考试安排的通知,"
2025-05-12
         ",../info/1036/14053.htm
教学运行,关于2024-2025学年第二学期计算机语言类课程期末考试安排的通知,"
2025-05-12
         ",../info/1036/14052.htm
教学运行,关于2024-2025学年第二学期《线性代数》、《线性代数与解析几何》课程期末考试安排的通知,"
2025-05-12
         ",../info/1036/14051.htm
实践科,关于做好2023年、2024年本科生科研训练计划项目结题工作的通知,"
2025-05-12
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14050
计划科,关于组织申报2025-2026学年第一学期通识教育选修课的通知,"
2025-05-12
         ",../info/1038/14048.htm
实践科,关于公布第十五届大学生节能减排社会实践与科技竞赛暨第十一届材料创新、设计及应用竞赛获奖名单的通知,"
2025-05-09
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14045
质量办,关于开展2025年度教师本科教学综合测评工作的通知,"
2025-05-09
         ",../info/1040/14044.htm
教学通知,关于开展2025年度教师本科教学综合测评工作的通知,"
2025-05-09
         ",../info/1012/14043.htm
教研教改,福州大学关于公布2023级数理综合班 专业分流学生名单及学科导师名单的通知,"
2025-05-09
         ",../info/1037/14042.htm
计划科,2024-2025学年第二学期在校学生申请辅修专业的通知,"
2025-05-06
         ",../info/1038/14038.htm
质量办,关于举办福州大学第六十八场“教学有道”暨第二期智慧教学课程平台与AI智慧教学工具培训的通知,"
2025-05-06
         ",../info/1040/14037.htm
实践科,关于举办2025年福州大学第二十五届数学竞赛暨第十七届全国大学生数学竞赛福建赛区选拔赛的通知,"
2025-04-30
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14034
实践科,关于公布2025年（总第三十一期）本科生科研训练计划立项项目的通知,"
2025-04-30
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14033
质量办,关于期中党政领导集中听课的通知,"
2025-04-27
         ",../info/1040/14032.htm
实践科,福州大学关于公布第二十二届程序设计竞赛获奖名单的通知,"
2025-04-24
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14020
实践科,关于开展2025届本科毕业设计（论文）抽检送审工作的通知,"
2025-04-24
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14018
质量办,关于福州大学第六十八场“教学有道”研讨活动延期举行的通知,"
2025-04-24
         ",../info/1040/14017.htm
教学运行,关于2025年劳动节放假课程调整的通知,"
2025-04-24
         ",../info/1036/14016.htm
教学运行,关于2024-2025学年第二学期《工程制图E》课程期末考试安排的通知,"
2025-04-23
         ",../info/1036/14012.htm
质量办,关于举办福州大学第六十八场“教学有道”研讨活动的通知,"
2025-04-23
         ",../info/1040/14011.htm
实践科,关于举办福州大学第九届网络信息安全竞赛的通知,"
2025-04-22
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14010
实践科,关于组织申报2025年大学生劳动教育实践基地的通知,"
2025-04-22
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14008
教学运行,关于2024-2025学年第二学期《高等数学A（中）》、《高等数学B（下）》、《高等数学C（下）》课程半期考试安排的通知,"
2025-04-22
         ",../info/1036/14007.htm
质量办,关于开展2025届本科毕业生在校学习体验调研的通知,"
2025-04-22
         ",../info/1040/14006.htm
教学通知,关于开展2025届本科毕业生在校学习体验调研的通知,"
2025-04-22
         ",../info/1012/14005.htm
教学运行,关于2026届预计毕业生核对电子注册学历信息的通知,"
2025-04-17
         ",../info/1036/14002.htm
实践科,关于举办2025年福州大学大学生电子设计竞赛暨全国大学生电子设计竞赛选拔赛的通知,"
2025-04-16
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=13999
质量办,关于举办福州大学第六十七场“教学有道”研讨活动——暨2025年全国周培源大学生力学竞赛进校园活动的通知,"
2025-04-16
         ",../info/1040/13997.htm
实践科,关于举办福州大学第十五届大学生节能减排社会实践与科技竞赛暨第十一届材料创新、设计及应用竞赛的通知,"
2025-04-15
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=13995
实践科,关于举办福州大学第十九届数学建模竞赛暨2025年“高教社杯”全国大学生数学建模竞赛选拔赛的通知,"
2025-04-14
         ",../info/1039/13993.htm
教材中心,2025年福建省高校教材联合巡展 （福州大学）活动通知,"
2025-04-11
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1042&wbnewsid=13991
教学运行,关于2024-2025学年第二学期《线性代数》课程半期考试安排的通知,"
2025-04-11
         ",../info/1036/13989.htm
教学运行,关于2025届预计毕业生补拍电子注册学历照片的通知,"
2025-04-10
         ",../info/1036/13988.htm
教研教改,福州大学关于公布2023级数理金融实验班 学生主辅修专业及导师名单的通知,"
2025-04-09
         ",../info/1037/13986.htm
质量办,关于开展2025年春季学期本科实验教学专项检查的通知,"
2025-04-08
         ",../info/1040/13983.htm
质量办,关于开展2024年新上岗教师课堂授课达标考核的通知,"
2025-04-07
         ",../info/1040/13982.htm
质量办,关于举办福州大学第六十六场“教学有道”暨第一期智慧教学课程平台与AI智慧教学工具培训的通知,"
2025-04-07
         ",../info/1040/13981.htm
实践科,关于开展大学生校外实践教学基地检查评估工作的通知,"
2025-04-02
         ",../info/1039/13977.htm
教学运行,关于2025年清明节放假课程调整的通知,"
2025-04-01
         ",../info/1036/13976.htm
教学运行,关于2024-2025学年第二学期《大学物理A（上）》、《大学物理B（上）》课程半期考试安排的通知,"
2025-04-01
         ",../info/1036/13974.htm
实践科,关于组织开展第十八届中国大学生计算机设计大赛校内预选赛的通知,"
2025-03-31
         ",../info/1039/13973.htm
实践科,关于举办福州大学第二十二届程序设计竞赛暨校ACM/ICPC集训队选拔赛的通知,"
2025-03-24
         ",../info/1039/13948.htm
教学运行,关于2024-2025学年第二学期《概率论与数理统计》课程半期考试安排的通知,"
2025-03-24
         ",../info/1036/13947.htm
质量办,关于举办第六十五场“教学有道”研讨活动的通知,"
2025-03-20
         ",../info/1040/13945.htm
实践科,关于举办福州大学第十六届企业经营模拟沙盘对抗赛的通知,"
2025-03-19
         ",../info/1039/13935.htm
教学运行,关于做好2025-2026学年第一学期排课准备工作的通知,"
2025-03-11
         ",../info/1036/13908.htm
计划科,关于2024-2025学年第二学期爱课程平台参加通识教育选修课学习的重要提示,"
2025-03-11
         ",../info/1038/13907.htm
质量办,关于举办福州大学第六十四场“教学有道”研讨活动的通知,"
2025-03-11
         ",../info/1040/13905.htm
教学运行,关于做好2025年3月退役复学学生转专业的通知,"
2025-03-10
         ",../info/1036/13904.htm
教学运行,关于2024-2025学年第二学期重新学习选课、缴费的通知,"
2025-03-10
         ",../info/1036/13903.htm
质量办,关于开展2025年春季学期申请类督导听课工作的通知,"
2025-03-07
         ",../info/1040/13901.htm
实践科,关于举办福州大学第五届先进成图技术与产品信息建模创新大赛的通知,"
2025-03-06
         ",../info/1039/13900.htm
实践科,关于举办福州大学第十四届大学生软件设计与服务外包创新创业竞赛的通知,"
2025-03-06
         ",../info/1039/13898.htm
实践科,关于做好创新创业实践与素质拓展学分认定工作的通知,"
2025-03-04
         ",../info/1039/13893.htm
计划科,关于公布2024-2025学年第二学期通选课取消开课名单的通知,"
2025-03-03
         ",../info/1038/13890.htm
综合科,关于2024-2025学年第二学期本科生学生证补办和火车票优惠区间更改的通知,"
2025-02-24
         ",../info/1035/13884.htm
质量办,关于推荐遴选校级本科教学督导员的通知,"
2025-02-24
         ",../info/1040/13883.htm
质量办,关于开学第一周集中听课的通知,"
2025-02-23
         ",../info/1040/13882.htm
教学运行,关于2024-2025第二学期学期选课、辅修选课补退选和缴费的通知,"
2025-02-23
         ",../info/1036/13881.htm
计划科,关于2024-2025学年第二学期港澳台侨学生思政课和军事课程退选替代的通知,"
2025-02-22
         ",../info/1038/13880.htm
计划科,关于通识教育选修课《国际化拔尖创新人才科研训练2025春》宣讲会及选课的通知,"
2025-02-22
         ",../info/1038/13879.htm
计划科,关于2024级学生参加2024-2025学年第二学期《大学生国家安全教育》课程学习的通知,"
2025-02-22
         ",../info/1038/13878.htm
计划科,关于2024-2025学年第二学期通识教育选修课选课的通知,"
2025-02-22
         ",../info/1038/13877.htm
教材中心,关于2024-2025学年第二学期教材发放的通知,"
2025-02-22
         ",../info/1042/13876.htm
综合科,关于召开2024-2025学年春季学期期初本科教育教学工作会议的通知,"
2025-02-22
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1035&wbnewsid=13875
综合科,教务处关于2025年寒假用印安排的通知,"
2025-01-18
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1035&wbnewsid=13871
教研教改,福州大学关于收集线上课程资源需求的通知（2025年）,"
2025-01-15
         ",../info/1037/13861.htm
实践科,关于做好第三十一期本科生科研训练计划项目立项申报工作的通知,"
2025-01-13
         ",../info/1039/13858.htm
计划科,关于印发《福州大学本科生课程替代与学分认定管理实施办法》的通知,"
2025-01-10
         ",../info/1038/13857.htm
教学运行,关于2025年春季学期《大学物理实验A（上）》、《大学物理实验C》绪论课程教室安排的通知,"
2025-01-08
         ",../info/1036/13853.htm
教学运行,关于2024-2025学年第二学期辅修专业选课的通知,"
2025-01-07
         ",../info/1036/13852.htm
教学运行,关于2025届预计毕业生校对电子注册学历照片的通知,"
2025-01-07
         ",../info/1036/13851.htm
教学通知,关于召开2024-2025学年秋季学期期末本科教育教学工作会议的通知,"
2025-01-04
         ",../info/1012/13848.htm
综合科,关于召开2024-2025学年秋季学期期末本科教育教学工作会议的通知,"
2025-01-04
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1035&wbnewsid=13847
计划科,关于核对2024-2025学年第二学期通识教育选修课开课信息的有关通知,"
2025-01-02
         ",../info/1038/13841.htm
教学运行,福州大学关于印发授予普通全日制学生学士学位工作细则的通知,"
2024-12-31
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1036&wbnewsid=13842
教材中心,关于开展2025年拟出版本科教材审核工作的通知,"
2024-12-31
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1042&wbnewsid=13840
实践科,关于对2024年学院教学有关数据进行统计的通知,"
2024-12-30
         ",../info/1039/13836.htm
实践科,关于举办福州大学第十一届桥梁设计大赛的通知,"
2024-12-30
         ",../info/1039/13834.htm
教学运行,关于2024-2025学年第一学期《大学物理A（下）》和《大学物理B（下）》课程期末考试安排的通知,"
2024-12-29
         ",../info/1036/13833.htm
教学运行,关于2024-2025学年第一学期《高等数学A（上）》、《高等数学B（上）》、《高等数学C（上）》和《高等数学D》课程期末考试安排的通知,"
2024-12-29
         ",../info/1036/13831.htm
教学运行,关于做好期末复习考试及下学期开学等工作的通知,"
2024-12-27
         ",../info/1036/13820.htm
教材中心,关于开展本科教材工作自查的通知,"
2024-12-25
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1042&wbnewsid=13819
教学运行,关于2024-2025学年第一学期《工程制图C（上）》、《工程制图D》和《工程制图F》课程期末考试安排的通知,"
2024-12-25
         ",../info/1036/13815.htm
教学运行,关于2024-2025学年第一学期《大学英语（二）》课程期末考试安排的通知,"
2024-12-25
         ",../info/1036/13814.htm
教学运行,关于2024-2025学年第一学期《大学英语（一）》和《大学英语（三）》课程期末考试安排的通知,"
2024-12-25
         ",../info/1036/13813.htm
教学运行,关于2025年元旦放假课程调整的通知,"
2024-12-25
         ",../info/1036/13812.htm
质量办,关于举办福州大学第六十三场“教学有道”研讨活动的通知,"
2024-12-24
         ",../info/1040/13810.htm
实践科,关于公布2024年福州大学大学生工程实践与创新能力大赛获奖名单的通知,"
2024-12-24
         ",../info/1039/13808.htm
教学运行,关于2024-2025学年第一学期《思想道德与法治》课程期末考试安排的通知,"
2024-12-24
         ",../info/1036/13806.htm
教学运行,关于2024-2025学年第一学期《线性代数》和《线性代数与解析几何》课程期末考试安排的通知,"
2024-12-24
         ",../info/1036/13805.htm
教学运行,关于2024-2025学年第二学期本科生学期选课的通知,"
2024-12-23
         ",../info/1036/13804.htm
质量办,关于制定学院本科教学督导工作管理实施办法的通知,"
2024-12-18
         ",../info/1040/13801.htm
质量办,关于上报学院本科教育教学质量保障2024年工作总结和2025年工作计划的通知,"
2024-12-18
         ",../info/1040/13797.htm
教学运行,关于2024-2025学年第一学期《中国近现代史纲要》课程期末考试安排的通知,"
2024-12-17
         ",../info/1036/13796.htm
教学运行,关于2024-2025学年第一学期《大学英语（四）》课程期末考试安排的通知,"
2024-12-17
         ",../info/1036/13795.htm
教学运行,关于2024-2025学年第一学期计算机语言类课程期末考试安排的通知,"
2024-12-13
         ",../info/1036/13792.htm
教材中心,关于公布福州大学2024年本科数字教材建设立项项目的通知,"
2024-12-12
         ",../info/1042/13837.htm
实践科,关于做好2025届本科生毕业设计（论文）工作的通知,"
2024-12-12
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=13791
综合科,关于评选2024年优秀教学管理人员的通知,"
2024-12-12
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1035&wbnewsid=13790
实践科,关于做好2024年省级以上大学生创新训练计划项目和第三十期本科生科研训练计划项目中期检查工作的通知,"
2024-12-09
         ",../info/1039/13784.htm
质量办,关于举办福州大学第六十二场“教学有道” 研讨活动的通知,"
2024-12-05
         ",../info/1040/13783.htm
