通知人,标题,日期,链接
教学运行,关于2024-2025学年第一学期《概率论与数理统计》课程期末考试安排的通知,"
2024-12-04
         ",../info/1036/13780.htm
教学运行,关于2024-2025学年第一学期《马克思主义基本原理》和《毛泽东思想和中国特色社会主义理论体系概论》课程期末考试安排的通知,"
2024-12-03
         ",../info/1036/13779.htm
实践科,关于举办第十五届全国大学生电子商务“三创赛”福州大学校赛的通知,"
2024-12-02
         ",../info/1039/13778.htm
计划科,关于2024-2025学年第二学期修读辅修专业学生名单的公示,"
2024-12-02
         ",../info/1038/13777.htm
实践科,关于组织参加2025年美国大学生数学建模竞赛（MCM/ICM）通知,"
2024-11-29
         ",../info/1039/13773.htm
实践科,关于组织申报2024年高校双碳实践育人案例的通知,"
2024-11-28
         ",../info/1039/13772.htm
质量办,关于举办福州大学第六十一场“教学有道” 研讨活动的通知,"
2024-11-26
         ",../info/1040/13769.htm
质量办,关于举办福州大学第六十场“教学有道”研讨活动的通知,"
2024-11-25
         ",../info/1040/13768.htm
教学运行,关于2024-2025学年第一学期《工程制图E》课程期末考试安排的通知,"
2024-11-22
         ",../info/1036/13766.htm
教学运行,关于2024-2025学年第一学期《高等数学A（下）》课程期末考试安排的通知,"
2024-11-22
         ",../info/1036/13765.htm
教材中心,关于开展2024年本科数字教材建设立项工作的通知,"
2024-11-21
         ",../info/1042/13763.htm
实践科,关于公布第十六届蓝桥杯全国软件和信息技术专业人才大赛福州大学选拔赛获省赛参赛资格名单的通知,"
2024-11-19
         ",../info/1039/13761.htm
教材中心,关于做好2024-2025学年第二学期教材选用与征订工作的通知,"
2024-11-15
         ",../info/1042/13760.htm
综合科,关于2024-2025学年第一学期再次开放本科生学生证补办及火车票优惠区间更改的通知,"
2024-11-15
         ",../info/1035/13759.htm
质量办,关于举办福州大学第五十九场“教学有道” 研讨活动的通知,"
2024-11-14
         ",../info/1040/13758.htm
实践科,关于公布2024年福州大学第十八届本科生数学建模竞赛获奖名单的通知,"
2024-11-13
         ",../info/1039/13754.htm
教学运行,关于2024-2025学年第一学期《习近平新时代中国特色社会主义思想概论》课程期末考试安排的通知,"
2024-11-12
         ",../info/1036/13752.htm
计划科,关于组织申报2024-2025学年第二学期通识教育选修课的通知,"
2024-11-11
         ",../info/1038/13750.htm
教材中心,关于举办福州大学第五十八场“教学有道”研讨活动暨数字教材建设专题研讨会的通知,"
2024-11-11
         ",../info/1042/13749.htm
教学运行,关于公布2024学年各学院转专业实施细则的通知,"
2024-11-08
         ",../info/1036/13748.htm
教学运行,关于2024-2025学年第一学期《线性代数》和《线性代数与解析几何》课程半期考试安排的通知,"
2024-11-07
         ",../info/1036/13746.htm
教研教改,关于开展2024年度教育部产学合作协同育人项目结题验收工作的通知,"
2024-11-05
         ",../info/1037/13743.htm
计划科,关于2024-2025学年第一学期在校学生申请辅修专业的通知,"
2024-11-01
         ",../info/1038/13741.htm
教学运行,关于2024-2025学年第一学期《高等数学A（上）》、《高等数学B（上）》、《高等数学C（上）》、《高等数学D》课程半期考试安排的通知,"
2024-10-29
         ",../info/1036/13739.htm
质量办,关于期中党政领导集中听课的通知,"
2024-10-28
         ",../info/1040/13738.htm
教学运行,关于做好2024学年本科生转专业工作的通知,"
2024-10-23
         ",../info/1036/13733.htm
教材中心,关于进一步加强马克思主义理论研究和建设工程重点教材选用工作的通知,"
2024-10-21
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1042&wbnewsid=13729
质量办,关于举办2024年教师教学创新大赛培训会暨第五十七场“教学有道”研讨活动的通知,"
2024-10-21
         ",../info/1040/13728.htm
教学运行,关于做好2025届预计毕业生电子注册图像采集工作的通知,"
2024-10-21
         ",../info/1036/13727.htm
教学运行,关于2024-2025学年第一学期《大学物理A（下）》、《大学物理B（下）》课程半期考试安排的通知,"
2024-10-18
         ",../info/1036/13725.htm
质量办,关于2024年新上岗教师教学达标培训班教师配备导师的通知,"
2024-10-16
         ",../info/1040/13723.htm
质量办,诚邀2019届毕业生参与培养目标达成和职业发展问卷调研,"
2024-10-15
         ",../info/1040/13721.htm
实践科,关于举办第十六届蓝桥杯全国软件和信息技术专业人才大赛福州大学选拔赛的通知,"
2024-10-15
         ",../info/1039/13720.htm
质量办,关于举办福州大学第五十六场“教学有道”研讨活动的通知,"
2024-10-15
         ",../info/1040/13719.htm
计划科,关于全校性通识教育选修课《爱课程：管理沟通》学习的重要提示,"
2024-10-14
         ",../info/1038/13717.htm
教学运行,关于2024-2025学年第一学期《概率论与数理统计》课程半期考试安排的通知,"
2024-10-12
         ",../info/1036/13716.htm
教学运行,关于填报课程学生出勤率信息的通知,"
2024-10-11
         ",../info/1036/13715.htm
教学运行,关于2024-2025学年第一学期《高等数学A（下）》课程半期考试安排的通知,"
2024-09-30
         ",../info/1036/13705.htm
实践科,关于2024年高校教学基本状态数据库教学相关数据报送的通知,"
2024-09-29
         ",../info/1039/13704.htm
质量办,关于开展福州大学2024年教师教学创新大赛的通知,"
2024-09-29
         ",../info/1040/13703.htm
教学运行,关于组织2024级新生开展学籍信息自查工作的通知,"
2024-09-27
         ",../info/1036/13701.htm
实践科,关于举办2024年福州大学大学生工程实践与创新能力大赛暨2024年福建省大学生工程实践与创新能力大赛福州大学分区赛的通知,"
2024-09-27
         ",../info/1039/13700.htm
教材中心,关于举办福州大学第五十五场“教学有道”研讨活动的通知,"
2024-09-25
         ",../info/1042/13697.htm
教学运行,关于2024年国庆节放假课程调整的通知,"
2024-09-24
         ",../info/1036/13696.htm
计划科,关于通识教育选修课《国际化拔尖创新人才科研训练》宣讲会及选课的通知,"
2024-09-23
         ",../info/1038/13695.htm
计划科,关于组织2024级学生参加《大学生国家安全教育》课程学习的通知,"
2024-09-23
         ",../info/1038/13693.htm
计划科,关于公布《大学生国家安全教育》课程实施方案的通知,"
2024-09-23
         ",../info/1038/13692.htm
质量办,关于开展思政课教学专项检查的通知,"
2024-09-20
         ",../info/1040/13689.htm
教学运行,关于2024-2025学年第一学期2024级体育理论教室安排的通知,"
2024-09-20
         ",../info/1036/13688.htm
质量办,福州大学关于成立思政课教学指导组的通知,"
2024-09-20
         ",../info/1040/13687.htm
教学运行,关于做好2024-2025学年第二学期排课准备工作的通知,"
2024-09-19
         ",../info/1036/13686.htm
质量办,关于举办福州大学第五十四场“教学有道”研讨活动的通知,"
2024-09-14
         ",../info/1040/13683.htm
质量办,关于每学期开展常态化课程考核教学档案检查的通知,"
2024-09-14
         ",../info/1040/13682.htm
计划科,关于2024-2025学年第一学期爱课程平台参加通识教育选修课学习的重要提示,"
2024-09-13
         ",../info/1038/13681.htm
教材中心,关于申请试用高等教育出版社“云创”数字教材创作编写平台的通知,"
2024-09-13
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1042&wbnewsid=13680
实践科,关于公布第二十八、二十九期本科生科研训练计划项目结题成绩的通知,"
2024-09-11
         ",../info/1039/13677.htm
实践科,关于公布省级以上大学生创新创业训练计划项目结题成绩的通知,"
2024-09-11
         ",../info/1039/13676.htm
教学运行,关于2024年中秋节放假课程调整的通知,"
2024-09-11
         ",../info/1036/13675.htm
教学运行,关于2024-2025学年第一学期重新学习选课、缴费的通知,"
2024-09-09
         ",../info/1036/13671.htm
综合科,关于召开2024-2025学年秋季学期期初本科教育教学工作会议的通知,"
2024-09-06
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1035&wbnewsid=13666
教学运行,关于2024-2025-01体育理论教室安排（2023级）的通知,"
2024-09-06
         ",../info/1036/13665.htm
实践科,关于做好2023-2024学年度本科毕业论文（设计）抽检工作的通知,"
2024-09-05
         ",../info/1039/13662.htm
质量办,关于开展申请类督导听课工作的通知,"
2024-09-05
         ",../info/1040/13661.htm
教材中心,关于2024级新生领取课程教材的通知,"
2024-09-04
         ",../info/1042/13658.htm
综合科,关于2024-2025学年第一学期本科生学生证和火车票优惠区间更改的通知,"
2024-09-04
         ",../info/1035/13654.htm
综合科,关于召开2024年宁夏大学、银川能源学院本科生赴福州大学访学见面交流会的通知,"
2024-09-02
         ",../info/1035/13651.htm
计划科,关于公布2024-2025学年第一学期通选课取消开课名单的通知,"
2024-09-02
         ",../info/1038/13650.htm
教学运行,关于做好2024年9月退役复学学生转专业的通知,"
2024-09-02
         ",../info/1036/13649.htm
综合科,关于2024级本科生（含访学学生）学生证信息采集的通知,"
2024-09-02
         ",../info/1035/13648.htm
教研教改,福州大学关于开展2024级“数智实验班” 招生工作的通知,"
2024-08-30
         ",../info/1037/13647.htm
综合科,关于购买优惠火车票相关事宜的通知,"
2024-08-30
         ",../info/1035/13646.htm
教研教改,福州大学关于开展2024级“嘉锡化学拔尖班”招生工作的通知,"
2024-08-30
         ",../info/1037/13643.htm
教研教改,福州大学关于开展2024级“数理综合班”招生工作的通知,"
2024-08-30
         ",../info/1037/13642.htm
教研教改,福州大学关于开展2024级“数理金融实验班”招生工作的通知,"
2024-08-30
         ",../info/1037/13641.htm
教学运行,关于2024-2025学年第一学期辅修专业补退选、缴费的通知,"
2024-08-26
         ",../info/1036/13639.htm
计划科,关于2024-2025学年第一学期港澳台侨学生思政课和军事课程退选替代的通知,"
2024-08-25
         ",../info/1038/13637.htm
计划科,关于2024-2025学年第一学期通识教育选修课选课的通知,"
2024-08-25
         ",../info/1038/13636.htm
质量办,关于开学第一周集中听课的通知,"
2024-08-25
         ",../info/1040/13635.htm
教学运行,关于2024-2025学年第一学期学期选课补退选的通知,"
2024-08-25
         ",../info/1036/13634.htm
质量办,关于开展2024年工程教育认证研讨培训的通知,"
2024-08-02
         ",../info/1040/13630.htm
教学运行,福州大学关于印发《福州大学本科生转专业管理实施办法》的通知,"
2024-08-01
         ",../info/1036/13629.htm
实践科,关于转发《关于举办2024年福建省大学生人工智能创意赛暨昇腾AI创新大赛的通知》的通知,"
2024-07-10
         ",../info/1039/13628.htm
实践科,关于公布第十三届大学生软件设计与服务外包创新创业竞赛获奖名单的通知,"
2024-07-06
         ",../info/1039/13617.htm
综合科,教务处关于2024年暑假用印安排的通知,"
2024-07-06
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1035&wbnewsid=13626
实践科,关于公布福州大学2024届本科生优秀毕业设计（论文）名单的通知,"
2024-07-06
         ",../info/1039/13616.htm
教研教改,福州大学关于公布第八届 远志创业实验班学生名单的通知,"
2024-07-01
         ",../info/1037/13602.htm
教学运行,关于2024-2025学年第一学期辅修专业选课的通知,"
2024-07-01
         ",../info/1036/13601.htm
综合科,友情提示,"
2024-06-29
         ",../info/1035/13592.htm
教学运行,关于做好期末复习考试及下学期开学等工作的通知,"
2024-06-26
         ",../info/1036/13585.htm
实践科,关于公布2024年第二十四届数学竞赛获奖名单的通知,"
2024-06-26
         ",../info/1039/13584.htm
实践科,关于公布第十五届企业经营模拟沙盘对抗赛获奖名单的通知,"
2024-06-26
         ",../info/1039/13583.htm
教材中心,关于召开数字教材建设研讨会的通知,"
2024-06-25
         ",../info/1042/13582.htm
计划科,关于核对2024-2025学年第一学期通识教育选修课开课信息的有关通知,"
2024-06-25
         ",../info/1038/13581.htm
教研教改,关于转发福建省教育厅办公室《关于举办2024年本科高校课程思政骨干教师、研究生导师培训班的通知》的通知,"
2024-06-21
         ",../info/1037/13580.htm
教研教改,关于组织教师和学生参加人工智能赋能高等教育调查报告全国抽样调查问卷的通知,"
2024-06-21
         ",../info/1037/13579.htm
教学运行,关于2023-2024学年第二学期《大学物理A（上）》、《大学物理B（上）》、《大学物理C》课程期末考试安排的通知,"
2024-06-21
         ",../info/1036/13578.htm
教学运行,关于2023-2024学年第二学期《大学英语（二）》、《大学英语（四）》课程期末考试安排的通知,"
2024-06-20
         ",../info/1036/13577.htm
教学运行,关于2023-2024学年第二学期《英语专题》课程期末考试安排的通知,"
2024-06-20
         ",../info/1036/13576.htm
教学运行,关于2023-2024学年第二学期《工程制图A（下）》、《工程制图D》、《工程制图F》课程期末考试安排的通知,"
2024-06-19
         ",../info/1036/13574.htm
教学运行,关于2024-2025学年第一学期本科生学期选课的通知,"
2024-06-17
         ",../info/1036/13569.htm
教学运行,关于2023-2024学年第二学期《大学英语（三）》课程期末考试安排的通知,"
2024-06-17
         ",../info/1036/13568.htm
实践科,关于转发组织申报福建省高等教育学会2024年度高等教育科学研究实验室研究专项课题的通知,"
2024-06-14
         ",../info/1039/13565.htm
教学运行,关于2023-2024学年第二学期《高等数学A（中）》、《高等数学B（下）》、《高等数学C（下）》课程期末考试安排的通知,"
2024-06-12
         ",../info/1036/13563.htm
实践科,关于转发《关于举办第十四届海峡两岸信息服务创新大赛暨福建省第十八届计算机软件设计大赛的通知》的通知,"
2024-06-11
         ",../info/1039/13560.htm
实践科,关于公布第三十期本科生科研训练计划立项项目的通知,"
2024-06-07
         ",../info/1039/13559.htm
教研教改,关于组织申报福建省新文科教育研究中心第二批高校新文科建设优秀案例的通知,"
2024-06-05
         ",../info/1037/13555.htm
教研教改,福州大学关于公布2022级数理综合班 专业分流学生名单及学科导师名单的通知,"
2024-06-05
         ",../info/1037/13554.htm
教研教改,福州大学关于公布2022级数理金融 实验班学生主辅修专业及导师名单的通知,"
2024-06-05
         ",../info/1037/13553.htm
计划科,关于2024-2025学年第一学期修读辅修专业学生名单的公示,"
2024-06-05
         ",../info/1038/13548.htm
质量办,关于举办福州大学第五十三场“教学有道” 研讨活动的通知,"
2024-06-05
         ",../info/1040/13547.htm
教材中心,关于做好2024-2025学年第一学期教材选用及征订工作的通知（更新）,"
2024-06-04
         ",../info/1042/13546.htm
教学运行,关于2023-2024学年第二学期《马克思主义基本原理》课程期末考试安排的通知,"
2024-06-04
         ",../info/1036/13545.htm
教学运行,关于2023-2024学年第二学期《毛泽东思想和中国特色社会主义理论体系概论》课程期末考试安排的通知,"
2024-06-04
         ",../info/1036/13544.htm
教学通知,福州大学关于推荐新一届教育部高等学校教学指导委员会专家的通知,"
2024-05-30
         ",../info/1012/13538.htm
教学运行,关于2024年端午放假课程调整的通知,"
2024-05-30
         ",../info/1036/13536.htm
教学运行,关于2023-2024学年第二学期《工程制图（C）》课程期末考试安排的通知,"
2024-05-29
         ",../info/1036/13533.htm
教学运行,关于2023-2024学年第二学期《思想道德与法治》课程期末考试安排的通知,"
2024-05-29
         ",../info/1036/13532.htm
教学运行,关于2023-2024学年第二学期《概率论与数理统计》课程期末考试安排的通知,"
2024-05-27
         ",../info/1036/13531.htm
教学运行,关于2023-2024学年第二学期《中国近现代史纲要》课程期末考试安排的通知,"
2024-05-24
         ",../info/1036/13530.htm
教学运行,关于2023-2024学年第二学期《线性代数》课程期末考试安排的通知,"
2024-05-24
         ",../info/1036/13529.htm
实践科,关于公布2024年本科生创新创业实践与素质拓展学分认定结果的通知,"
2024-05-22
         ",../info/1039/13525.htm
教研教改,福州大学关于开展优秀拔尖创新人才培养案例征集的通知,"
2024-05-22
         ",../info/1037/13524.htm
教研教改,福州大学关于开展第八届远志创业实验班招生工作的通知,"
2024-05-17
         ",../info/1037/13513.htm
教学运行,关于2023-2024学年第二学期《习近平新时代中国特色社会主义思想概论》课程期末考试安排的通知,"
2024-05-15
         ",../info/1036/13501.htm
教学运行,关于2025届预计毕业生核对电子注册学历信息的通知,"
2024-05-15
         ",../info/1036/13497.htm
教学运行,关于2023-2024学年第二学期计算机语言类课程期末考试安排的通知,"
2024-05-15
         ",../info/1036/13491.htm
实践科,关于公布第十届桥梁设计大赛获奖名单的通知,"
2024-05-11
         ",../info/1039/13481.htm
实践科,关于做好国家、省级大学生创新创业训练计划项目结题工作的通知,"
2024-05-10
         ",../info/1039/13479.htm
实践科,关于做好第二十八期、二十九期本科生科研训练计划项目结题工作的通知,"
2024-05-10
         ",../info/1039/13478.htm
教材中心,关于举办福州大学第五十二场“教学有道” 研讨活动的通知,"
2024-05-09
         ",../info/1042/13477.htm
综合科,关于2023-2024学年第二学期再次开放本科生学生证和火车票优惠卡补办及火车票优惠卡更改区间的通知,"
2024-05-08
         ",../info/1035/13475.htm
计划科,2023-2024学年第二学期在校学生申请辅修专业的通知,"
2024-05-07
         ",../info/1038/13473.htm
计划科,关于组织申报2024-2025学年第一学期通识教育选修课的通知,"
2024-05-06
         ",../info/1038/13472.htm
实践科,关于公布第四届福州大学大学生先进成图技术与产品信息建模创新大赛获奖名单的通知,"
2024-04-30
         ",../info/1039/13470.htm
实践科,福州大学关于公布第二十一届程序设计竞赛获奖名单的通知,"
2024-04-30
         ",../info/1039/13469.htm
教材中心,关于开展2024年拟出版本科教材审核工作的通知,"
2024-04-29
         ",../info/1042/13417.htm
实践科,关于对2024届本科毕业设计（论文）试行AIGC检测的通知,"
2024-04-28
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=13415
教学运行,关于2023-2024学年第二学期《工程制图E》课程期末考试安排的通知,"
2024-04-28
         ",../info/1036/13414.htm
实践科,关于公布福州大学第十四届大学生节能减排社会实践与科技竞赛暨第十届材料创新、设计及应用竞赛获奖名单的通知,"
2024-04-26
         ",../info/1039/13413.htm
实践科,关于开展2024届本科毕业设计（论文）抽检送审工作的通知,"
2024-04-26
         ",../info/1039/13411.htm
质量办,关于举办福州大学第五十一场“教学有道”  研讨活动的通知,"
2024-04-26
         ",../info/1040/13410.htm
教学运行,关于2024年五一劳动节放假课程调整的通知,"
2024-04-26
         ",../info/1036/13409.htm
质量办,关于举办福州大学第五十场“教学有道”  研讨活动的通知,"
2024-04-24
         ",../info/1040/13408.htm
教学运行,关于2023-2024-02学期体育理论课安排的通知,"
2024-04-24
         ",../info/1036/13406.htm
实践科,关于举办2024年福州大学第二十四届数学竞赛的通知,"
2024-04-23
         ",../info/1039/13405.htm
实践科,福州大学关于公布第八届网络信息安全竞赛获奖名单的通知,"
2024-04-22
         ",../info/1039/13403.htm
实践科,关于举办福州大学第六届大学生机器人竞赛的通知,"
2024-04-19
         ",../info/1039/13397.htm
实践科,关于举办福州大学第十八届数学建模竞赛的通知,"
2024-04-19
         ",../info/1039/13396.htm
实践科,关于举办福州大学第二十一届程序设计竞赛暨校ACM/ICPC集训队选拔赛的通知,"
2024-04-17
         ",../info/1039/13391.htm
质量办,关于举办福州大学第四十九场“教学有道”研讨活动的通知,"
2024-04-17
         ",../info/1040/13390.htm
综合科,关于第61届中国高等教育博览会的参会指南,"
2024-04-12
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1035&wbnewsid=13378
计划科,关于召开2024版本科人才培养方案修订工作专题会议的通知,"
2024-04-11
         ",../info/1038/13379.htm
实践科,关于对2024届本科毕业设计（论文）进行查重检测的通知,"
2024-04-10
         ",../info/1039/13375.htm
教学运行,关于2024届预计毕业生补拍电子注册学历照片的通知,"
2024-04-10
         ",../info/1036/13374.htm
质量办,关于开展2023年新上岗教师课堂授课达标考核的通知,"
2024-04-08
         ",../info/1040/13353.htm
教学运行,关于2023-2024学年第二学期《线性代数》课程半期考试安排的通知,"
2024-04-07
         ",../info/1036/13352.htm
教学运行,关于2023-2024学年第二学期《大学物理A（上）》、《大学物理B（上）》课程半期考试安排的通知,"
2024-04-07
         ",../info/1036/13351.htm
教学运行,关于2023-2024学年第二学期《概率论与数理统计》课程半期考试安排的通知,"
2024-04-03
         ",../info/1036/13349.htm
教学运行,关于2023-2024学年第二学期《高等数学A（中）》、《高等数学B（下）》、《高等数学C（下）》课程半期考试安排的通知,"
2024-04-03
         ",../info/1036/13348.htm
综合科,关于组织教师参加第61届中国高等教育博览会的通知,"
2024-04-02
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1035&wbnewsid=13347
教学运行,关于2024年清明节放假课程调整的通知,"
2024-04-01
         ",../info/1036/13343.htm
实践科,关于举办福州大学第十五届企业经营模拟沙盘对抗赛的通知,"
2024-03-27
         ",../info/1039/13335.htm
实践科,关于组织开展第十七届中国大学生计算机设计大赛福州大学校内预选赛的通知,"
2024-03-27
         ",../info/1039/13334.htm
实践科,关于举办福州大学第四届大学生先进成图技术与产品信息建模创新大赛的通知,"
2024-03-27
         ",../info/1039/13333.htm
实践科,关于举办福州大学第十四届大学生节能减排社会实践与科技竞赛暨第十届材料创新、设计及应用竞赛的通知,"
2024-03-22
         ",../info/1039/13331.htm
实践科,关于举办福州大学第八届网络信息安全竞赛的通知,"
2024-03-21
         ",../info/1039/13329.htm
教学运行,关于做好2024-2025学年第一学期排课准备工作的通知,"
2024-03-18
         ",../info/1036/13322.htm
综合科,关于更改2023-2024学年春季学期期初本科教育教学工作会议时间的通知,"
2024-03-14
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1035&wbnewsid=13313
实践科,关于举办福州大学第十三届大学生软件设计与服务外包创新创业竞赛的通知,"
2024-03-13
         ",../info/1039/13312.htm
计划科,关于通识选修课《爱课程：美化嗓音 轻松讲课》开课的友情提示 ,"
2024-03-13
         ",../info/1038/13310.htm
综合科,关于召开2023-2024学年春季学期期初本科教育教学工作会议的通知,"
2024-03-13
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1035&wbnewsid=13309
实践科,关于转发《关于邀请省内高校大学生参与2024数字中国创新大赛的函》的通知,"
2024-03-12
         ",../info/1039/13308.htm
教学运行,关于2023-2024学年第二学期重新学习选课、缴费的通知,"
2024-03-11
         ",../info/1036/13306.htm
计划科,关于2023-2024学年第二学期爱课程平台参加通识教育选修课学习的重要提示,"
2024-03-11
         ",../info/1038/13305.htm
质量办,关于组织教师参加第四届福建省教师教学创新大赛产教融合赛道的通知,"
2024-03-06
         ",../info/1040/13301.htm
实践科,关于参加2024年（第十届）全国大学生统计建模大赛的通知,"
2024-03-05
         ",../info/1039/13296.htm
实践科,关于做好第三十期本科生科研训练计划项目立项申报工作的通知,"
2024-03-05
         ",../info/1039/13294.htm
计划科,关于公布2023-2024学年第二学期通选课取消开课名单的通知,"
2024-03-04
         ",../info/1038/13293.htm
综合科,关于2023-2024学年第二学期本科生学生证和火车票优惠卡补办及火车票优惠卡更改区间的通知,"
2024-02-29
         ",../info/1035/13280.htm
教学运行,关于做好2024年3月退役复学学生转专业的通知,"
2024-02-27
         ",../info/1036/13284.htm
计划科,关于通识教育选修课《国际化拔尖创新人才科研训练》宣讲会及选课的通知,"
2024-02-27
         ",../info/1038/13283.htm
实践科,关于2024届本科毕业生创新创业实践与素质拓展学分认定工作的通知,"
2024-02-26
         ",../info/1039/13281.htm
计划科,关于2023-2024学年第二学期港澳台侨学生思政课和军事课程退选替代的通知,"
2024-02-25
         ",../info/1038/13279.htm
实践科,关于对2023年学院教学有关数据进行统计的通知,"
2024-02-25
         ",../info/1039/13278.htm
计划科,关于2023-2024学年第二学期通识教育选修课选课的通知,"
2024-02-25
         ",../info/1038/13277.htm
质量办,关于开学第一周集中听课的通知,"
2024-02-25
         ",../info/1040/13276.htm
教学运行,关于2023-2024第二学期学期选课、辅修选课补退选的通知,"
2024-02-25
         ",../info/1036/13275.htm
实践科,关于推荐申报实验教学和教学实验室建设研究项目的通知,"
2024-02-06
         ",../info/1039/13272.htm
教学运行,关于2024年春季学期《大学物理实验》绪论课程教室安排的通知,"
2024-01-20
         ",../info/1036/13254.htm
综合科,教务处关于2024年寒假用印安排的通知,"
2024-01-20
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1035&wbnewsid=13252
教材中心,关于组织申报福建省“十四五”普通高等教育本科规划教材建设项目的通知,"
2024-01-18
         ",../info/1042/13251.htm
质量办,关于上报学院本科教育教学质量保障2023年工作总结和2024年工作计划的通知,"
2024-01-12
         ",../info/1040/13248.htm
计划科,关于核对2023-2024学年第二学期通识教育选修课开课信息的通知,"
2024-01-11
         ",../info/1038/13245.htm
综合科,关于召开2023-2024学年秋季学期期末本科教育教学工作会议的通知,"
2024-01-10
         ",../info/1035/13242.htm
教学运行,关于2023-2024学年第二学期辅修专业选课的通知,"
2024-01-09
         ",../info/1036/13241.htm
实践科,关于组织参加2024年美国大学生数学建模竞赛通知,"
2024-01-08
         ",../info/1039/13231.htm
教学运行,关于做好期末复习考试及下学期开学等工作的通知,"
2024-01-03
         ",../info/1036/13221.htm
教学运行,关于2023-2024学年第一学期《高等数学C（上）》、《高等数学D》课程期末考试安排的通知,"
2024-01-02
         ",../info/1036/13213.htm
教学运行,关于2023-2024学年第一学期《高等数学A（上）》、《高等数学B（上）》课程期末考试安排的通知,"
2024-01-02
         ",../info/1036/13212.htm
教学运行,关于2023-2024学年第一学期《大学物理A（下）》课程期末考试安排的通知,"
2024-01-02
         ",../info/1036/13211.htm
教学运行,关于2023-2024学年第一学期《大学英语（二）》课程期末考试安排的通知,"
2024-01-02
         ",../info/1036/13210.htm
教学运行,关于2023-2024学年第一学期《大学英语（一）》、《大学英语（三）》课程期末考试安排的通知,"
2024-01-02
         ",../info/1036/13209.htm
教学运行,关于2023-2024学年第一学期《工程制图A（上）》、《工程制图C（上）》、《工程制图D》、《工程制图F》课程期末考试安排的通知,"
2024-01-02
         ",../info/1036/13208.htm
实践科,关于公布大学生校外实践教学基地检查结果的通知,"
2023-12-29
         ",../info/1039/13207.htm
实践科,关于公布首批大学生示范性校外实践教学基地名单的通知,"
2023-12-28
         ",../info/1039/13206.htm
教研教改,关于开展福建省第二批新工科教育优秀教学案例征集、实践平台共建共享推荐工作的通知,"
2023-12-26
         ",../info/1037/13204.htm
